구코드,구명,분기코드,임대료,임대료_delta,임대료_gap
11215,광진구,2024Q4,50.4,0.0,0.0
11215,광진구,2025Q1,50.4,0.0,0.0
11215,광진구,2025Q2,50.3,-0.002,-0.1
11215,광진구,2025Q3,50.3,0.0,0.0
11215,광진구,2025Q4,50.3,0.0,0.0
11230,동대문구,2023Q1,43.85,0.0,0.0
11230,동대문구,2023Q2,44.2,0.008,0.35
11230,동대문구,2023Q3,44.3,0.0023,0.1
11230,동대문구,2023Q4,44.3,0.0,0.0
11230,동대문구,2024Q1,44.45,0.0034,0.15
11230,동대문구,2024Q2,44.9,0.0101,0.45
11230,동대문구,2024Q3,46.45,0.0345,1.55
11230,동대문구,2024Q4,46.5,0.0011,0.05
11230,동대문구,2025Q1,46.7,0.0043,0.2
11230,동대문구,2025Q2,46.7,0.0,0.0
11230,동대문구,2025Q3,46.85,0.0032,0.15
11230,동대문구,2025Q4,46.85,0.0,0.0
11260,중랑구,2023Q1,51.00694444444444,0.0,0.0
11260,중랑구,2023Q2,51.07566666666666,0.0013,0.0687
11260,중랑구,2023Q3,51.36172222222222,0.0056,0.2861
11260,중랑구,2023Q4,51.54211111111111,0.0035,0.1804
11260,중랑구,2024Q1,51.756166666666665,0.0042,0.2141
11260,중랑구,2024Q2,52.01738888888888,0.005,0.2612
11260,중랑구,2024Q3,53.508722222222225,0.0287,1.4913
11260,중랑구,2024Q4,53.62972222222222,0.0023,0.121
11260,중랑구,2025Q1,53.64405555555556,0.0003,0.0143
11260,중랑구,2025Q2,53.80727777777778,0.003,0.1632
11260,중랑구,2025Q3,54.06772222222222,0.0048,0.2604
11260,중랑구,2025Q4,54.53322222222222,0.0086,0.4655
11290,성북구,2023Q1,52.2,0.0,0.0
11290,성북구,2023Q2,52.3,0.0019,0.1
11290,성북구,2023Q3,53.1,0.0153,0.8
11290,성북구,2023Q4,53.3,0.0038,0.2
11290,성북구,2024Q1,53.6,0.0056,0.3
11290,성북구,2024Q2,54.1,0.0093,0.5
11290,성북구,2024Q3,58.2,0.0758,4.1
11290,성북구,2024Q4,58.4,0.0034,0.2
11290,성북구,2025Q1,58.3,-0.0017,-0.1
11290,성북구,2025Q2,58.4,0.0017,0.1
11290,성북구,2025Q3,58.3,-0.0017,-0.1
11290,성북구,2025Q4,58.3,0.0,0.0
11305,강북구,2023Q1,51.00694444444444,0.0,0.0
11305,강북구,2023Q2,51.07566666666666,0.0013,0.0687
11305,강북구,2023Q3,51.36172222222222,0.0056,0.2861
11305,강북구,2023Q4,51.54211111111111,0.0035,0.1804
11305,강북구,2024Q1,51.756166666666665,0.0042,0.2141
11305,강북구,2024Q2,52.01738888888888,0.005,0.2612
11305,강북구,2024Q3,53.508722222222225,0.0287,1.4913
11305,강북구,2024Q4,53.62972222222222,0.0023,0.121
11305,강북구,2025Q1,53.64405555555556,0.0003,0.0143
11305,강북구,2025Q2,53.80727777777778,0.003,0.1632
11305,강북구,2025Q3,54.06772222222222,0.0048,0.2604
11305,강북구,2025Q4,54.53322222222222,0.0086,0.4655
11320,도봉구,2023Q1,51.00694444444444,0.0,0.0
11320,도봉구,2023Q2,51.07566666666666,0.0013,0.0687
11320,도봉구,2023Q3,51.36172222222222,0.0056,0.2861
11320,도봉구,2023Q4,51.54211111111111,0.0035,0.1804
11320,도봉구,2024Q1,51.756166666666665,0.0042,0.2141
11320,도봉구,2024Q2,52.01738888888888,0.005,0.2612
11320,도봉구,2024Q3,53.508722222222225,0.0287,1.4913
11320,도봉구,2024Q4,53.62972222222222,0.0023,0.121
11320,도봉구,2025Q1,53.64405555555556,0.0003,0.0143
11320,도봉구,2025Q2,53.80727777777778,0.003,0.1632
11320,도봉구,2025Q3,54.06772222222222,0.0048,0.2604
11320,도봉구,2025Q4,54.53322222222222,0.0086,0.4655
11350,노원구,2023Q1,51.00694444444444,0.0,0.0
11350,노원구,2023Q2,51.07566666666666,0.0013,0.0687
11350,노원구,2023Q3,51.36172222222222,0.0056,0.2861
11350,노원구,2023Q4,51.54211111111111,0.0035,0.1804
11350,노원구,2024Q1,51.756166666666665,0.0042,0.2141
11350,노원구,2024Q2,52.01738888888888,0.005,0.2612
11350,노원구,2024Q3,53.508722222222225,0.0287,1.4913
11350,노원구,2024Q4,53.62972222222222,0.0023,0.121
11350,노원구,2025Q1,53.64405555555556,0.0003,0.0143
11350,노원구,2025Q2,53.80727777777778,0.003,0.1632
11350,노원구,2025Q3,54.06772222222222,0.0048,0.2604
11350,노원구,2025Q4,54.53322222222222,0.0086,0.4655
11380,은평구,2023Q1,51.00694444444444,0.0,0.0
11380,은평구,2023Q2,51.07566666666666,0.0013,0.0687
11380,은평구,2023Q3,51.36172222222222,0.0056,0.2861
11380,은평구,2023Q4,51.54211111111111,0.0035,0.1804
11380,은평구,2024Q1,51.756166666666665,0.0042,0.2141
11380,은평구,2024Q2,52.01738888888888,0.005,0.2612
11380,은평구,2024Q3,53.508722222222225,0.0287,1.4913
11380,은평구,2024Q4,53.62972222222222,0.0023,0.121
11380,은평구,2025Q1,53.64405555555556,0.0003,0.0143
11380,은평구,2025Q2,53.80727777777778,0.003,0.1632
11380,은평구,2025Q3,54.06772222222222,0.0048,0.2604
11380,은평구,2025Q4,54.53322222222222,0.0086,0.4655
11410,서대문구,2023Q1,47.3,0.0,0.0
11410,서대문구,2023Q2,47.3,0.0,0.0
11410,서대문구,2023Q3,47.5,0.0042,0.2
11410,서대문구,2023Q4,47.5,0.0,0.0
11410,서대문구,2024Q1,47.5,0.0,0.0
11410,서대문구,2024Q2,46.6,-0.0189,-0.9
11410,서대문구,2024Q3,40.9,-0.1223,-5.7
11410,서대문구,2024Q4,40.8,-0.0024,-0.1
11410,서대문구,2025Q1,40.7,-0.0025,-0.1
11410,서대문구,2025Q2,40.8,0.0025,0.1
11410,서대문구,2025Q3,40.8,0.0,0.0
11410,서대문구,2025Q4,40.9,0.0025,0.1
11440,마포구,2023Q1,53.260000000000005,0.0,0.0
11440,마포구,2023Q2,53.279999999999994,0.0004,0.02
11440,마포구,2023Q3,53.379999999999995,0.0019,0.1
11440,마포구,2023Q4,53.44,0.0011,0.06
11440,마포구,2024Q1,53.56,0.0022,0.12
11440,마포구,2024Q2,53.660000000000004,0.0019,0.1
11440,마포구,2024Q3,55.0,0.025,1.34
11440,마포구,2024Q4,55.2,0.0036,0.2
11440,마포구,2025Q1,55.06,-0.0025,-0.14
11440,마포구,2025Q2,55.220000000000006,0.0029,0.16
11440,마포구,2025Q3,55.52,0.0054,0.3
11440,마포구,2025Q4,55.86,0.0061,0.34
11470,양천구,2023Q1,51.00694444444444,0.0,0.0
11470,양천구,2023Q2,51.07566666666666,0.0013,0.0687
11470,양천구,2023Q3,51.36172222222222,0.0056,0.2861
11470,양천구,2023Q4,51.54211111111111,0.0035,0.1804
11470,양천구,2024Q1,51.756166666666665,0.0042,0.2141
11470,양천구,2024Q2,52.01738888888888,0.005,0.2612
11470,양천구,2024Q3,53.508722222222225,0.0287,1.4913
11470,양천구,2024Q4,53.62972222222222,0.0023,0.121
11470,양천구,2025Q1,53.64405555555556,0.0003,0.0143
11470,양천구,2025Q2,53.80727777777778,0.003,0.1632
11470,양천구,2025Q3,54.06772222222222,0.0048,0.2604
11470,양천구,2025Q4,54.53322222222222,0.0086,0.4655
11500,강서구,2023Q1,51.00694444444444,0.0,0.0
11500,강서구,2023Q2,51.07566666666666,0.0013,0.0687
11500,강서구,2023Q3,51.36172222222222,0.0056,0.2861
11500,강서구,2023Q4,51.54211111111111,0.0035,0.1804
11500,강서구,2024Q1,51.756166666666665,0.0042,0.2141
11500,강서구,2024Q2,52.01738888888888,0.005,0.2612
11500,강서구,2024Q3,53.508722222222225,0.0287,1.4913
11500,강서구,2024Q4,53.62972222222222,0.0023,0.121
11500,강서구,2025Q1,53.64405555555556,0.0003,0.0143
11500,강서구,2025Q2,53.80727777777778,0.003,0.1632
11500,강서구,2025Q3,54.06772222222222,0.0048,0.2604
11500,강서구,2025Q4,54.53322222222222,0.0086,0.4655
11530,구로구,2023Q1,51.00694444444444,0.0,0.0
11530,구로구,2023Q2,51.07566666666666,0.0013,0.0687
11530,구로구,2023Q3,51.36172222222222,0.0056,0.2861
11530,구로구,2023Q4,51.54211111111111,0.0035,0.1804
11530,구로구,2024Q1,51.756166666666665,0.0042,0.2141
11530,구로구,2024Q2,52.01738888888888,0.005,0.2612
11530,구로구,2024Q3,53.508722222222225,0.0287,1.4913
11530,구로구,2024Q4,53.62972222222222,0.0023,0.121
11530,구로구,2025Q1,53.64405555555556,0.0003,0.0143
11530,구로구,2025Q2,53.80727777777778,0.003,0.1632
11530,구로구,2025Q3,54.06772222222222,0.0048,0.2604
11530,구로구,2025Q4,54.53322222222222,0.0086,0.4655
11545,금천구,2023Q1,51.00694444444444,0.0,0.0
11545,금천구,2023Q2,51.07566666666666,0.0013,0.0687
11545,금천구,2023Q3,51.36172222222222,0.0056,0.2861
11545,금천구,2023Q4,51.54211111111111,0.0035,0.1804
11545,금천구,2024Q1,51.756166666666665,0.0042,0.2141
11545,금천구,2024Q2,52.01738888888888,0.005,0.2612
11545,금천구,2024Q3,53.508722222222225,0.0287,1.4913
11545,금천구,2024Q4,53.62972222222222,0.0023,0.121
11545,금천구,2025Q1,53.64405555555556,0.0003,0.0143
11545,금천구,2025Q2,53.80727777777778,0.003,0.1632
11545,금천구,2025Q3,54.06772222222222,0.0048,0.2604
11545,금천구,2025Q4,54.53322222222222,0.0086,0.4655
11560,영등포구,2023Q1,35.35,0.0,0.0
11560,영등포구,2023Q2,35.4,0.0014,0.05
11560,영등포구,2023Q3,35.55,0.0042,0.15
11560,영등포구,2023Q4,35.6,0.0014,0.05
11560,영등포구,2024Q1,35.849999999999994,0.007,0.25
11560,영등포구,2024Q2,36.35,0.0139,0.5
11560,영등포구,2024Q3,38.15,0.0495,1.8
11560,영등포구,2024Q4,38.15,0.0,0.0
11560,영등포구,2025Q1,38.15,0.0,0.0
11560,영등포구,2025Q2,38.25,0.0026,0.1
11560,영등포구,2025Q3,38.900000000000006,0.017,0.65
11560,영등포구,2025Q4,39.55,0.0167,0.65
11590,동작구,2023Q1,26.9,0.0,0.0
11590,동작구,2023Q2,26.4,-0.0186,-0.5
11590,동작구,2023Q3,26.4,0.0,0.0
11590,동작구,2023Q4,26.4,0.0,0.0
11590,동작구,2024Q1,26.3,-0.0038,-0.1
11590,동작구,2024Q2,26.3,0.0,0.0
11590,동작구,2024Q3,30.7,0.1673,4.4
11590,동작구,2024Q4,30.6,-0.0033,-0.1
11590,동작구,2025Q1,30.4,-0.0065,-0.2
11590,동작구,2025Q2,30.2,-0.0066,-0.2
11590,동작구,2025Q3,30.2,0.0,0.0
11590,동작구,2025Q4,30.3,0.0033,0.1
11620,관악구,2023Q1,70.8,0.0,0.0
11620,관악구,2023Q2,70.9,0.0014,0.1
11620,관악구,2023Q3,70.9,0.0,0.0
11620,관악구,2023Q4,70.9,0.0,0.0
11620,관악구,2024Q1,71.0,0.0014,0.1
11620,관악구,2024Q2,72.1,0.0155,1.1
11620,관악구,2024Q3,67.4,-0.0652,-4.7
11620,관악구,2024Q4,67.3,-0.0015,-0.1
11620,관악구,2025Q1,66.9,-0.0059,-0.4
11620,관악구,2025Q2,66.9,0.0,0.0
11620,관악구,2025Q3,67.0,0.0015,0.1
11620,관악구,2025Q4,67.7,0.0104,0.7
11650,서초구,2023Q1,40.93333333333333,0.0,0.0
11650,서초구,2023Q2,41.03333333333333,0.0024,0.1
11650,서초구,2023Q3,41.36666666666667,0.0081,0.3333
11650,서초구,2023Q4,41.43333333333333,0.0016,0.0667
11650,서초구,2024Q1,41.6,0.004,0.1667
11650,서초구,2024Q2,41.766666666666666,0.004,0.1667
11650,서초구,2024Q3,43.53333333333333,0.0423,1.7667
11650,서초구,2024Q4,43.63333333333333,0.0023,0.1
11650,서초구,2025Q1,43.800000000000004,0.0038,0.1667
11650,서초구,2025Q2,44.03333333333333,0.0053,0.2333
11650,서초구,2025Q3,44.333333333333336,0.0068,0.3
11650,서초구,2025Q4,45.36666666666667,0.0233,1.0333
11680,강남구,2023Q1,65.9375,0.0,0.0
11680,강남구,2023Q2,66.475,0.0082,0.5375
11680,강남구,2023Q3,67.0125,0.0081,0.5375
11680,강남구,2023Q4,67.375,0.0054,0.3625
11680,강남구,2024Q1,67.7625,0.0058,0.3875
11680,강남구,2024Q2,68.0625,0.0044,0.3
11680,강남구,2024Q3,68.2125,0.0022,0.15
11680,강남구,2024Q4,68.6125,0.0059,0.4
11680,강남구,2025Q1,68.8125,0.0029,0.2
11680,강남구,2025Q2,69.0625,0.0036,0.25
11680,강남구,2025Q3,69.8375,0.0112,0.775
11680,강남구,2025Q4,71.2,0.0195,1.3625
11710,송파구,2023Q1,32.6,0.0,0.0
11710,송파구,2023Q2,32.5,-0.0031,-0.1
11710,송파구,2023Q3,32.45,-0.0015,-0.05
11710,송파구,2023Q4,32.5,0.0015,0.05
11710,송파구,2024Q1,32.55,0.0015,0.05
11710,송파구,2024Q2,32.55,0.0,0.0
11710,송파구,2024Q3,33.85,0.0399,1.3
11710,송파구,2024Q4,33.75,-0.003,-0.1
11710,송파구,2025Q1,33.7,-0.0015,-0.05
11710,송파구,2025Q2,33.8,0.003,0.1
11710,송파구,2025Q3,33.95,0.0044,0.15
11710,송파구,2025Q4,34.25,0.0088,0.3
11740,강동구,2023Q1,51.00694444444444,0.0,0.0
11740,강동구,2023Q2,51.07566666666666,0.0013,0.0687
11740,강동구,2023Q3,51.36172222222222,0.0056,0.2861
11740,강동구,2023Q4,51.54211111111111,0.0035,0.1804
11740,강동구,2024Q1,51.756166666666665,0.0042,0.2141
11740,강동구,2024Q2,52.01738888888888,0.005,0.2612
11740,강동구,2024Q3,53.508722222222225,0.0287,1.4913
11740,강동구,2024Q4,53.62972222222222,0.0023,0.121
11740,강동구,2025Q1,53.64405555555556,0.0003,0.0143
11740,강동구,2025Q2,53.80727777777778,0.003,0.1632
11740,강동구,2025Q3,54.06772222222222,0.0048,0.2604
11740,강동구,2025Q4,54.53322222222222,0.0086,0.4655
